date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:37	219/219	------	200	untouched ('OK')	text/plain	etag:W/%2263f6c9db-154%22	https://www.classcentral.com/robots.txt		(from )
19:48:37	664621/664621	------	200	untouched ('OK')	text/html	date:Thu,%2023%20Feb%202023%2018:40:58%20GMT	https://www.classcentral.com/	C:/Users/USUARIO/Documents/class2/index-2.html	(from )
19:48:37	2206/2206	------	200	untouched ('')	image/png	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/Users/USUARIO/Documents/class2/apple-touch-icon.png	(from https://www.classcentral.com/)
19:48:37	9463/9463	------	200	untouched ('')	image/png	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/Users/USUARIO/Documents/class2/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
19:48:37	975/975	------	200	untouched ('')	image/png	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/Users/USUARIO/Documents/class2/favicon-32x32.png	(from https://www.classcentral.com/)
19:48:37	731/731	------	200	untouched ('')	image/png	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/Users/USUARIO/Documents/class2/favicon-16x16.png	(from https://www.classcentral.com/)
19:48:37	673/673	------	200	untouched ('')	application/octet-stream	etag:%2263f6ca2c-2a1%22	https://www.classcentral.com/site.webmanifest	C:/Users/USUARIO/Documents/class2/site.webmanifest	(from https://www.classcentral.com/)
19:48:37	1328/1328	------	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	C:/Users/USUARIO/Documents/class2/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
19:48:37	1960/1960	------	200	untouched ('OK')	image/svg+xml	etag:W/%2263f6ca2c-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/Users/USUARIO/Documents/class2/safari-pinned-tab.svg	(from https://www.classcentral.com/)
19:48:38	1328/1328	------	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/Users/USUARIO/Documents/class2/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
19:48:38	1488/1488	------	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	C:/Users/USUARIO/Documents/class2/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
19:48:38	5588/5588	------	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	C:/Users/USUARIO/Documents/class2/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
19:48:38	12520/12520	------	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	C:/Users/USUARIO/Documents/class2/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
19:48:38	15280/15280	------	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	C:/Users/USUARIO/Documents/class2/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
19:48:38	6868/6868	------	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/Users/USUARIO/Documents/class2/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
19:48:38	9684/9684	------	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	C:/Users/USUARIO/Documents/class2/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
19:48:38	7376/7376	------	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	C:/Users/USUARIO/Documents/class2/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
19:48:38	8444/8444	------	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	C:/Users/USUARIO/Documents/class2/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
